"filename", "language", "YAML", "Markdown", "Shell Script", "JavaScript", "SQL", "XML", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\header.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 9, 3, 96
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\sidebar.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\configs\authConfig.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 19, 5, 70
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 6, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\layout.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\adms.js", "JavaScript", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 1, 9, 137
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\askquestion.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\edu.js", "JavaScript", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 2, 4, 219
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\departments.js", "JavaScript", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 6, 122
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\login.js", "JavaScript", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 4, 6, 129
