"filename", "language", "JSON", "Markdown", "Shell Script", "JavaScript", "Docker", "XML", "HTML", "CSS", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\register.js", "JavaScript", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 4, 6, 182
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\mainpage.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\answer.js", "JavaScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 11, 112
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\openquestion.js", "JavaScript", 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 1, 6, 363
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\questions.js", "JavaScript", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 4, 14, 222
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\utils\customHooks.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\utils\functions.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\config\db.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 94, 47, 238
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 4, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\package-lock.json", "JSON", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 127
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 63756, 77, 21, 4276, 21, 2635, 40, 67, 45, 97, 627, 575, 72237
